"Package" "Version"
"abind" "abind" "1.4-5"
"affy" "affy" "1.74.0"
"affyio" "affyio" "1.66.0"
"annotate" "annotate" "1.74.0"
"AnnotationDbi" "AnnotationDbi" "1.58.0"
"AnnotationFilter" "AnnotationFilter" "1.20.0"
"ape" "ape" "5.6-2"
"aplot" "aplot" "0.1.6"
"arrow" "arrow" "8.0.0"
"askpass" "askpass" "1.1"
"assertthat" "assertthat" "0.2.1"
"backports" "backports" "1.4.1"
"base64" "base64" "2.0"
"base64enc" "base64enc" "0.1-3"
"beanplot" "beanplot" "1.3.1"
"beeswarm" "beeswarm" "0.4.0"
"BH" "BH" "1.78.0-0"
"BiasedUrn" "BiasedUrn" "1.07"
"Biobase" "Biobase" "2.56.0"
"BiocFileCache" "BiocFileCache" "2.4.0"
"BiocGenerics" "BiocGenerics" "0.42.0"
"BiocIO" "BiocIO" "1.6.0"
"BiocManager" "BiocManager" "1.30.18"
"BiocParallel" "BiocParallel" "1.30.3"
"BiocVersion" "BiocVersion" "3.15.2"
"biomaRt" "biomaRt" "2.52.0"
"Biostrings" "Biostrings" "2.64.1"
"biovizBase" "biovizBase" "1.44.0"
"bit" "bit" "4.0.4"
"bit64" "bit64" "4.0.5"
"bitops" "bitops" "1.0-7"
"blob" "blob" "1.2.3"
"bookdown" "bookdown" "0.28"
"brew" "brew" "1.0-7"
"brio" "brio" "1.1.3"
"broom" "broom" "1.0.0"
"BSgenome" "BSgenome" "1.64.0"
"bslib" "bslib" "0.3.1"
"bumphunter" "bumphunter" "1.38.0"
"cachem" "cachem" "1.0.6"
"callr" "callr" "3.7.0"
"carData" "carData" "3.0-5"
"caTools" "caTools" "1.18.2"
"cellranger" "cellranger" "1.1.0"
"checkmate" "checkmate" "2.1.0"
"ChIPseeker" "ChIPseeker" "1.32.0"
"cli" "cli" "3.3.0"
"clipr" "clipr" "0.8.0"
"colorDF" "colorDF" "0.1.4"
"colorspace" "colorspace" "2.0-3"
"commonmark" "commonmark" "1.8.0"
"corrplot" "corrplot" "0.92"
"cowplot" "cowplot" "1.1.1"
"cpp11" "cpp11" "0.4.2"
"crayon" "crayon" "1.5.1"
"credentials" "credentials" "1.3.2"
"crosstalk" "crosstalk" "1.2.0"
"curl" "curl" "4.3.2"
"data.table" "data.table" "1.14.2"
"DBI" "DBI" "1.1.3"
"dbplyr" "dbplyr" "2.2.1"
"DelayedArray" "DelayedArray" "0.22.0"
"DelayedMatrixStats" "DelayedMatrixStats" "1.18.0"
"deldir" "deldir" "1.0-6"
"dendextend" "dendextend" "1.16.0"
"desc" "desc" "1.4.1"
"devtools" "devtools" "2.4.3"
"dichromat" "dichromat" "2.0-0.1"
"diffobj" "diffobj" "0.3.5"
"digest" "digest" "0.6.29"
"DO.db" "DO.db" "2.9"
"docopt" "docopt" "0.7.1"
"doRNG" "doRNG" "1.8.2"
"DOSE" "DOSE" "3.22.0"
"dotCall64" "dotCall64" "1.0-1"
"dplyr" "dplyr" "1.0.9"
"DT" "DT" "0.24"
"dtplyr" "dtplyr" "1.2.1"
"duckdb" "duckdb" "0.4.0"
"ellipse" "ellipse" "0.4.3"
"ellipsis" "ellipsis" "0.3.2"
"EnhancedVolcano" "EnhancedVolcano" "1.14.0"
"enrichplot" "enrichplot" "1.16.1"
"ensembldb" "ensembldb" "2.20.2"
"evaluate" "evaluate" "0.15"
"fansi" "fansi" "1.0.3"
"farver" "farver" "2.1.0"
"fastmap" "fastmap" "1.1.0"
"fastmatch" "fastmatch" "1.1-3"
"FDb.InfiniumMethylation.hg19" "FDb.InfiniumMethylation.hg19" "2.2.0"
"ff" "ff" "4.0.7"
"fgsea" "fgsea" "1.22.0"
"fields" "fields" "14.1"
"filelock" "filelock" "1.0.2"
"flashClust" "flashClust" "1.01-2"
"forcats" "forcats" "0.5.1"
"foreach" "foreach" "1.5.2"
"formatR" "formatR" "1.12"
"Formula" "Formula" "1.2-4"
"fs" "fs" "1.5.2"
"fst" "fst" "0.9.8"
"fstcore" "fstcore" "0.9.12"
"futile.logger" "futile.logger" "1.4.3"
"futile.options" "futile.options" "1.0.1"
"fuzzyjoin" "fuzzyjoin" "0.1.6"
"gargle" "gargle" "1.2.0"
"genefilter" "genefilter" "1.78.0"
"geneplotter" "geneplotter" "1.74.0"
"generics" "generics" "0.1.3"
"GenomeInfoDb" "GenomeInfoDb" "1.32.3"
"GenomeInfoDbData" "GenomeInfoDbData" "1.2.8"
"GenomicAlignments" "GenomicAlignments" "1.32.1"
"GenomicFeatures" "GenomicFeatures" "1.48.3"
"GenomicRanges" "GenomicRanges" "1.48.0"
"GEOquery" "GEOquery" "2.64.2"
"geosphere" "geosphere" "1.5-14"
"gert" "gert" "1.6.0"
"ggforce" "ggforce" "0.3.3"
"ggfortify" "ggfortify" "0.4.14"
"ggfun" "ggfun" "0.0.6"
"ggplot2" "ggplot2" "3.3.6"
"ggplotify" "ggplotify" "0.1.0"
"ggraph" "ggraph" "2.0.6"
"ggrepel" "ggrepel" "0.9.1"
"ggsci" "ggsci" "2.9"
"ggsignif" "ggsignif" "0.6.3"
"ggtree" "ggtree" "3.4.2"
"gh" "gh" "1.3.0"
"gitcreds" "gitcreds" "0.1.1"
"glue" "glue" "1.6.2"
"GO.db" "GO.db" "3.15.0"
"googledrive" "googledrive" "2.0.0"
"googlesheets4" "googlesheets4" "1.0.0"
"GOSemSim" "GOSemSim" "2.22.0"
"gplots" "gplots" "3.1.3"
"graphlayouts" "graphlayouts" "0.8.1"
